Winkel Volumen Druck Temperatur 
220 454.93848457353687 1.1318058528113872 300.0
221 453.00206884110924 1.13858357365794 300.5119468395864
222 451.0178404944635 1.1456011224467948 301.03971513079347
223 448.98587198529134 1.1528646960808409 301.58355636580785
224 446.90624617582426 1.1603807824992283 302.1437360018979
225 444.7790569342612 1.1681561175145145 302.7205194963318
226 442.60440973883345 1.1761978140645084 303.31420306243587
227 440.3824222897506 1.1845130224709337 303.92502303920725
228 438.11322512821346 1.1931093305958984 304.55325672582643
229 435.7969622616277 1.2019948061299193 305.19922915708514
230 433.43379179410044 1.211177824853032 305.8632653677749
231 431.02388656124845 1.220667083714742 306.54569039268733
232 428.5674347682892 1.2304716145603567 307.2468292666141
233 426.06464063034184 1.240600798538169 307.96700702434674
234 423.5157250138036 1.2510645576074397 308.70659222419414
235 420.92092607762396 1.2618729270165736 309.4658868732218
236 418.280499913244 1.273036578155952 310.2452517916983
237 415.59472118192343 1.2845667919319366 311.0450940771756
238 412.86388374813043 1.2964752913996416 311.8658208272052
239 410.0883013076264 1.3087742617872717 312.7078391393389
240 407.2683080088377 1.3214763715445235 313.5715561111284
241 404.40425906606464 1.334594794472169 314.45737884012544
242 401.49653136305034 1.3481434788986535 315.3657719475208
243 398.545524045394 1.3621365268493828 316.2971056193924
244 395.5516591002702 1.376589003980651 317.25183975332743
245 392.5153819218948 1.391516790428195 318.2304802866903
246 389.4371618611553 1.406936414908088 319.2335331568454
247 386.3174927578167 1.4228650857773062 320.26150430115723
248 383.15689345369833 1.4393207237455807 321.31489965699024
249 379.95590828522757 1.456321996333891 322.39422516170885
250 376.7151075537643 1.4738887026094663 323.5000632283896
251 373.43508797211297 1.49204086812324 324.6328641714422
252 370.116473085649 1.5107999811513355 325.7932097691628
253 366.7599136665037 1.5301886575054404 326.9817267308578
254 363.3660880792923 1.5502304839319119 328.19904176583356
255 359.93570261689155 1.5709500670238337 329.4457815833965
256 356.4694918048208 1.5923730848341386 330.72257289285307
257 352.96821867282785 1.6145263413498427 332.03004240350964
258 349.4326749923337 1.637438088050375 333.36887058373134
259 345.86368147844786 1.6611375854710984 334.73968833018284
260 342.26208795533677 1.6856559238656994 336.1432302498833
261 338.6287734837973 1.7110256942786422 337.5802508792631
262 334.96464644996104 1.7372809652919305 339.05150475475256
263 331.2706446141488 1.764457360868146 340.5577464127822
264 327.5477351189685 1.7925923571367772 342.09977132606974
265 323.7969144558572 1.8217249127757724 343.6783274190019
266 320.0192083893523 1.8518962766547225 345.29425113881166
267 316.21567183848674 1.8831499357632016 346.94843470260304
268 312.3873887148046 1.915531431858396 348.64177032748023
269 308.53547171659835 1.9490884731816613 350.3751502305474
270 304.66106207908507 1.9838712206308788 352.1494964447985
271 300.7653292803428 2.0199322002532596 353.96572166148684
272 296.8494707029503 2.057326654213542 355.82476753141333
273 292.91471125137963 2.0961131823194514 357.72768824196
274 288.9623029253086 2.136353268148161 359.67553798050886
275 284.99352434913646 2.178111440105501 361.66937093444193
276 281.009680258094 2.221455499399404 363.7102507042958
277 277.0121009414553 2.2664570456850694 365.79930534955787
278 273.0021416434657 2.3131907686724995 367.9375796291849
279 268.9811819227082 2.3617363999645535 370.12631501180607
280 264.950624970735 2.4121777478214654 372.36675296605057
281 260.9118968908913 2.4646029293527247 374.6601349605476
282 256.8664459383544 2.5191046161532444 377.0077024639264
283 252.81574172250458 2.5757809015299915 379.410786421824
284 248.76127437283165 2.6347342019243976 381.87060105381954
285 244.70455366965905 2.696073789864805 384.3885726522918
286 240.64710814105513 2.7599148797438775 386.9661509742073
287 236.59048412735632 2.826378803003764 389.6047857765324
288 232.53624481480887 2.8955933585063818 392.3059268162336
289 228.485969239881 2.967693684954792 395.071090800076
290 224.44125126585968 3.0428216646678123 397.9017265774571
291 220.40369853338592 3.1211279773669296 400.7994319442053
292 216.3749313866268 3.20277196773043 403.7658689941556
293 212.35658177681404 3.287921634188096 406.80269982114305
294 208.35029214490353 3.376754115138731 409.91158651900275
295 204.3577142851373 3.469456465350064 413.09422297851734
296 200.3805081912936 3.566225995636471 416.3523092730877
297 196.4203408874305 3.6672712592398673 419.68760012261725
298 192.47888524492063 3.772812905038477 423.10192996590246
299 188.55781878757548 3.883083632162088 426.59713324173975
300 184.6588224866492 3.9983288228384852 430.17504438892564
301 180.78357954749538 4.118807160212499 433.83749417565
302 176.93377418962962 4.24479167781305 437.58634919354046
303 173.1110904219308 4.376570619467588 441.42352570581465
304 169.31721081468064 4.5144471908021435 445.3508908869226
305 165.55381527011062 4.65874071865254 449.3703119113146
306 161.82257979308926 4.809787353392366 453.4836559534407
307 158.12517526353912 4.967940762620075 457.69279018775103
308 154.46326621213663 5.133572527909143 461.9995567039238
309 150.8385096007949 5.307072300255017 466.4057323661483
310 147.25255360938496 5.488848383640804 470.9130352071475
311 143.70703643010094 5.679328998389342 475.52319274997853
312 140.20358507082258 5.878960300878581 480.23774276993674
313 136.7438141687726 6.088208048649101 485.0581622196021
314 133.3293248157152 6.307557813854077 489.9858769398691
315 129.96170339588517 6.537513131477728 495.0221269365451
316 126.64252043778255 6.778593927828243 500.167888747676
317 123.37332948090788 7.031337993590227 505.4240490878118
318 120.15566595846505 7.29629991720865 510.79139815804007
319 116.99104609699309 7.5740424923815395 516.2701366715945
320 113.88096583384288 7.865140527415551 521.8603137798444
321 110.82689975335315 8.170178917026531 527.5618643889262
322 107.83030004253091 8.4897408232073 533.3740575907698
323 104.89259546698682 8.824404822494415 539.2956257259922
324 102.01519036782763 9.174744097825913 545.3250485902935
